tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
INSTITUTO AMIGOS DO PACHECO,IAP,Associação Privada,2016.0,,,MORRO PACHECO,Desenvolvimento e defesa de direitos,Outros
NUCLEO DE UMBANDA SAGRADA 7 MENSAGEIROS DA LUZ DIVINA,NUCLEO DE UMBANDA SAGRADA 7 MENSAGEIROS DA LUZ DIVINA,Organização Religiosa,2017.0,,,GONZAGA,Religião,Religião
ASSOCIACAO DE DESENVOLVIMENTOS DO ESPORTE E CULTURA DE SANTOS,,Associação Privada,2017.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS ARTESOES DE CARUARA - CARUARTES,CARUARTES,Associação Privada,2017.0,,,CARUARA,Cultura e recreação,Cultura e arte
GREMIO RECREATIVO E ESPORTIVO BLOCO CARNAVALESCO BARRACA DO SAMBA,BARRACA DO SAMBA,Associação Privada,2015.0,,,CASTELO,Cultura e recreação,Esporte e recreação
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA CASTRO ALVES,A R L S CASTRO ALVES,Organização Religiosa,2016.0,,,ESTUARIO,Religião,Religião
LIGA DESPORTIVA MV BAIXADA SANTISTA,LIGA MV,Associação Privada,2017.0,,,CANELEIRA,Cultura e recreação,Esporte e recreação
INSTITUTO WEPROTECT,WEPROTECT,Associação Privada,2017.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO TODOS TEMOS DIREITOS,ASSOCIACAO TODOS TEMOS DIREITOS,Associação Privada,2017.0,,,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE DESPORTOS AQUATICOS DA BAIXADA SANTISTA,ADABS,Associação Privada,2017.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
ONG AMIGOS DO TOBIAS,AMIGOS DO TOBIAS,Associação Privada,2017.0,,,EMBARE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO SANDERLEI PARRELA,ISP,Associação Privada,2017.0,,,GONZAGA,Cultura e recreação; Desenvolvimento e defesa de direitos,Outros
AMEIC - ASSOCIACAO DE MAES ESPECIAIS ITINERANTE CRISTA,,Associação Privada,2017.0,,,APARECIDA,Religião,Religião
COMUNIDADE EVANGELICA ECCLESIA,ECCLESIA,Organização Religiosa,2017.0,,,RADIO CLUBE,Religião,Religião
CAPITULO DO SANTO REAL ARCO XV DE NOVEMBRO N 16,,Associação Privada,2017.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO FAMILIA 1912,ASSOCIACAO FAMILIA 1912,Associação Privada,2017.0,,,AREIA BRANCA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO EDUCANDO COM ARTE,PROJETO EDUCANDO COM ARTE,Associação Privada,2010.0,,,BOQUEIRAO,Educação e pesquisa,Outras formas de educação/ensino
ASSOCIACAO POINT GE ESPORTES DE PRAIA,ASSOCIACAO POINT GE ESPORTES DE PRAIA,Associação Privada,2017.0,,,APARECIDA,Cultura e recreação,Esporte e recreação
ASSOCIACAO BRASIL MIDIAS,,Associação Privada,2017.0,,,MACUCO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
1 BANCO DA SOLIDARIEDADE MATERNA,1 BANCO DA SOLIDARIEDADE MATERNA,Associação Privada,2017.0,,,RADIO CLUBE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO PE NA AREIA,PE NA AREIA,Associação Privada,2017.0,,,APARECIDA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO CULTURAL BENEFICENTE E EDUCACIONAL DO TEMPLO RELIGIOSO ILE ASE OBA NLA OYO ATI BABA INA,,Organização Religiosa,2010.0,,,ESTUARIO,Religião,Religião
ASSOCIACAO POKOLOCO MOTO GRUPO,POCOLOCO MOTO GRUPO,Associação Privada,2015.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
IGREJA ASSEMBLEIA DE DEUS - MINISTERIO MONTE MORIA,IGREJA ASSEMBLEIA DE DEUS - MINISTERIO MONTE MORIA,Organização Religiosa,2017.0,,,MACUCO,Religião,Religião
IGREJA EVANGELICA AVIVAMENTO BIBLICO EM SANTOS,,Organização Religiosa,2017.0,,,PONTA DA PRAIA,Religião,Religião
ASSOCIACAO DOS EX-ALUNOS DA UNIVERSIDADE ABERTA A TERCEIRA IDADE DA BAIXADA SANTISTA,EXA-UATI BAIXADA SANTISTA,Associação Privada,2007.0,,,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ANBS - ASSOCIACAO DOS NORDESTINOS DA BAIXADA SANTISTA,,Associação Privada,2016.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
"INSTITUTO GUERREIROS DO MORRO, ESPORTE E EDUCACAO",,Associação Privada,2017.0,,,GONZAGA,Educação e pesquisa,Outras formas de educação/ensino
SOCIEDADE DE MELHORAMENTOS DA VILA DOS CRIADORES,SOCIEDADE DE MELHORAMENTOS DA VILA DOS CRIADORES,Associação Privada,2016.0,,,ALEMOA,Desenvolvimento e defesa de direitos,Outros
IGR. ANGLICANA EPISCOPAL DA BEM AVENTURADA VIRGEM MARIA,IGR. ANGLICANA EPISCOPAL DA BEM AVENTURADA VIRGEM MARIA,Organização Religiosa,2017.0,,,MACUCO,Religião,Religião
MINISTERIO EVANGELICO PROJETO FAMILIA EM CRISTO,MINISTERIO EVANGELICO PROJETO FAMILIA EM CRISTO,Organização Religiosa,2017.0,,,PONTA DA PRAIA,Religião,Religião
INSTITUTO MINHA SANTOS,,Associação Privada,2017.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
LOJA ACACIA DE SANTOS DE MESTRES MACONS DA MARCA N 5,,Associação Privada,2017.0,,,ESTUARIO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO SOCIAL ESPORTIVA SANTISTA  ASES,ASES,Associação Privada,2017.0,,,CENTRO,Cultura e recreação,Esporte e recreação
ASSOCIACAO ESPORTIVA TURMA MIL,TURMA 1000,Associação Privada,2017.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
VEREADOR ROCHA E SILVA ASSOCIACAO,,Associação Privada,2017.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS LOJISTAS DO BOULEVARD ANA COSTA,ASSOCIACAO DOS LOJISTAS DO BOULEVARD ANA COSTA,Associação Privada,2017.0,,,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO COMUNITARIA ACORDA CASTELO (ACAC),,Associação Privada,2017.0,,,CASTELO,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO ZELITO S,,Associação Privada,2017.0,,,APARECIDA,Cultura e recreação,Esporte e recreação
INSTITUTO AMIGOS DO ESPORTE,,Associação Privada,2017.0,,,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS AMIGOS DA TECNOLOGIA,AATEC,Associação Privada,2017.0,,,APARECIDA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ORGANIZACAO BRAZIL-CONGO SOLUCOES,OBRACO SOLUTIONS,Associação Privada,2017.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO CIVIL SEM FINS LUCRATIVOS - ONG HELLA,ONG HELLA,Associação Privada,2017.0,,,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
GRUPO ESPERANCAR - ESTUDOS ESPIRITAS,GRUPO ESPERANCAR - ESTUDOS ESPIRITAS,Organização Religiosa,2017.0,,,EMBARE,Religião,Religião
ASSOCIACAO DOS ASSESSORES E CERIMONIALISTAS DO ESTADO DE SAO PAULO,ACERESP,Associação Privada,2017.0,,,GONZAGA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO CULTURAL VIVA VIDA,,Associação Privada,2017.0,,,VILA MATHIAS,Cultura e recreação,Cultura e arte
CENTRO COMUNITARIO DO EMBARE,,Associação Privada,2016.0,,,EMBARE,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO DOS PROFISSIONAIS DA AREA DE SEGURANCA, VIGILANCIA E SIMILARES DO LITORAL DE SAO PAULO",APASVSL-SP,Associação Privada,2017.0,,,SABOO,Desenvolvimento e defesa de direitos,Outros
LOJA MACONICA ALIANCA FRATERNAL N 3779,ARLS ALIANCA FRATERNAL N 3779,Associação Privada,2017.0,,,EMBARE,Religião,Religião
BRASIL SOLIDARIO SOCIAL,BSS,Associação Privada,2017.0,,,VILA BELMIRO,Cultura e recreação,Cultura e arte
SENADOR CESAR LACERDA DE VERGUEIRO ASSOCIACAO,,Associação Privada,2018.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CORONEL MONTENEGRO ASSOCIACAO,,Associação Privada,2018.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DAS MULHERES PARA O DESENVOLVIMENTO COMUNITARIO DA AREA CONTINENTAL DE SANTOS,MUDECOM,Associação Privada,2017.0,,,CARUARA,Desenvolvimento e defesa de direitos,Outros
INSTITUTO GUERREIROS DO AMANHA (IGA),IGA,Associação Privada,2018.0,,,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DO LITORAL SANTISTA DE AMIGOS E PORTADORES  DE ESCLEROSE MULTIPLA - ALSAPEM,ALSAPEM,Associação Privada,2018.0,,,CASTELO,Assistência social,Assistência social
"INSTITUTO  BASQUETE, ESPORTES E EDUCACAO",INSTITUTO BASE,Associação Privada,2018.0,,,CASTELO,Cultura e recreação,Esporte e recreação
PRECEPTORIA DE CAVALEIROS TEMPLARIOS PEREGRINOS N 10,PRECEPTORIA,Associação Privada,2018.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO CULTURAL PORTO CIRCENSE,PORTO CIRCENSE,Associação Privada,2018.0,,,APARECIDA,Saúde,Outros serviços de saúde
IGREJA PROFETICA MISSOES DE AVIVAMENTO,,Organização Religiosa,2018.0,,,CENTRO,Religião,Religião
SOBERANA ORDEM SACERDOTAL DE HARMONIZACAO PSICOENERGETICA,SOSHP,Organização Religiosa,2018.0,,,BOQUEIRAO,Religião,Religião
ALPI - ASSOCIACAO DOS LOJISTAS DO SHOPPING PATIO IPORANGA,,Associação Privada,2018.0,,,GONZAGA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
SOCIEDADE DE MELHORAMENTOS DO BAIRRO SANTA MARIA,SMMSM,Associação Privada,2013.0,,,MORRO SANTA MARIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO ESPORTIVA ARMADA R.C.,AEARC,Associação Privada,2018.0,,,CAMPO GRANDE,Cultura e recreação,Esporte e recreação
IGREJA CONVIVIO CRISTAO UMA NOVA CHANCE,IGREJA CONVIVIO CRISTAO UMA NOVA CHANCE,Organização Religiosa,2018.0,,,VILA MATHIAS,Religião,Religião
ASSOCICAO DE ESPORTES E FUTEVOLEI DOS AMIGOS,AEFA,Associação Privada,2018.0,,,APARECIDA,Cultura e recreação,Esporte e recreação
INSTITUTO DE DESENVOLVIMENTO E PESQUISAS EM SAUDE E AMBIENTE,,Associação Privada,2017.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO CAMPUS UNIPAZ BAIXADA SANTISTA,UNIPAZ SANTOS,Associação Privada,2018.0,,,MARAPE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BRASILEIRA DE TREKKING,AB TREKKING,Associação Privada,2018.0,,,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA SAO JOAO N 4152,,Associação Privada,2018.0,,,CENTRO,Religião,Religião
ASSOCIACAO DE PATINACAO ARTISTICA AXEL - APAA,APAA,Associação Privada,2018.0,,,APARECIDA,Cultura e recreação,Esporte e recreação
ASSOCIACAO BENEFICENTE DE SAUDE E EDUCACAO PLEIADES,ASSOCIACAO PLEIADES,Associação Privada,2018.0,,,VILA MATHIAS,Saúde,Outros serviços de saúde
ASSOCIACAO NACIONAL DOS TRABALHADORES PORTUARIOS,ANTP,Associação Privada,2018.0,,,MACUCO,Desenvolvimento e defesa de direitos,Outros
CASA RICARDO DE ACOLHIMENTO TRANSITORIO - CRAT,CRAT,Associação Privada,2018.0,,,JABAQUARA,Assistência social,Assistência social
INSTITUTO DEVIR EDUCOM,,Associação Privada,2018.0,,,POMPEIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO CONSTRUINDO SONHOS,CONSTRUINDO SONHOS,Associação Privada,2018.0,,,BOQUEIRAO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
CLUBE ORNITOLOGICO DO LITORAL PAULISTA,C.O.L.P,Associação Privada,2018.0,,,APARECIDA,Desenvolvimento e defesa de direitos,Outros
ONG PATINHAS QUE BRILHAM,ONG PATINHAS QUE BRILHAM,Organização Social,2018.0,,,MARAPE,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO DOS AMIGOS MORADORES DO JOSE MENINO,,Associação Privada,2018.0,,,JOSE MENINO,Cultura e recreação,Esporte e recreação
INSTITUTO DE DESENVOLVIMENTO ACOES E PROJETOS SOCIAIS - IDAPS,INSTITUTO HABITACAO,Associação Privada,2018.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS AMIGOS DO CORAL CEU DA BOCA - AACCB,CORAL CEU DA BOCA,Associação Privada,2017.0,,,EMBARE,Cultura e recreação,Cultura e arte
CASA DE UMBANDA SAGRADA LUZ E AMOR,CASA DE UMBANDA SAGRADA LUZ E AMOR,Organização Religiosa,2017.0,,,MARAPE,Religião,Religião
IGREJA DE ATOS PEDRA VIVA,IGREJA DE ATOS PEDRA VIVA,Organização Religiosa,2018.0,,,VILA MATHIAS,Religião,Religião
A.R.L.S. LUSIADAS DE CAMOES,LOJA MACONICA LUSIADAS DE CAMOES,Organização Religiosa,2018.0,,,VILA NOVA,Religião,Religião
ASSOCIACAO DE INOVACAO EM NEGOCIOS SOCIAIS E ECONOMIA CRIATIVA,INSTITUTO LAB 4D,Associação Privada,2018.0,,,CENTRO,Cultura e recreação,Cultura e arte
CENTRO ESPIRITA DE UMBANDA E CANDOMBLE SANTERIA ESTRELA DE OXALA,SANTERIA ESTRELA DE OXALA,Organização Religiosa,2018.0,,,VILA MATHIAS,Religião,Religião
IGREJA BATISTA PENTECOSTAL IMPERIO DE DEUS,IGREJA PENTECOSTAL IMPERIO DE DEUS,Organização Religiosa,2018.0,,,RADIO CLUBE,Religião,Religião
ASSOCIACAO INSTITUTO DE CAPACITACAO EDUCACIONAL PARA LIDERANCAS - ICEL,INSTITUTO DE CAPACITACAO EDUCACIONAL PARA LIDERANCAS,Organização Social,2017.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
"HAND-A BOOK SOCIEDADE DE ESTUDOS , CULTURA E METODOS",,Associação Privada,2018.0,,,GONZAGA,Cultura e recreação,Cultura e arte
ASSOCIACAO COMUNITARIA DE RADIODIFUSAO OSSE,RADIO E TV ARTE,Associação Privada,2018.0,,,APARECIDA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA CAVALEIROS DO BRASIL N 7,,Associação Privada,2018.0,,,CENTRO,Religião,Religião
REI JORGE VI DE SANTOS ASSOCIACAO,,Associação Privada,2018.0,,,JOSE MENINO,Cultura e recreação,Esporte e recreação
INSTITUTO ANALISES E ACOES SOCIAIS ROBERTO RODRIGUES,IAASRR,Associação Privada,2018.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
BANDA MASTER DE SANTOS,,Associação Privada,2018.0,,,APARECIDA,Cultura e recreação,Cultura e arte
ASSOCIACAO CORE JUNIOR,,Associação Privada,2018.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ESPERANCA LITORAL ASSOCIACAO,,Associação Privada,2018.0,,,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
MINISTERIO PETENCOSTAL JESUS E VIDA,MINISTERIO PETENCOSTAL JESUS E VIDA,Organização Religiosa,2018.0,,,VILA PROGRESSO,Religião,Religião
FEDERACAO PAULISTA DE VA'A,FPVAA,Associação Privada,2018.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
IGREJA PENTECOSTAL PODER DO AVIVAMENTO MINISTERIO UNINDO AS NACOES,,Organização Religiosa,2018.0,,,RADIO CLUBE,Religião,Religião
ASSOCIACAO EDUCAR PARA TRANSFORMAR,,Associação Privada,2018.0,,,APARECIDA,Desenvolvimento e defesa de direitos,Outros
PROJETO YALE KIDS,PYK,Associação Privada,2018.0,,,CAMPO GRANDE,Cultura e recreação,Esporte e recreação
PROJETO PRIMEIROS PASSOS,PROJETO PRIMEIROS PASSOS,Associação Privada,2018.0,,,CANELEIRA,Desenvolvimento e defesa de direitos,Outros
INSTITUTO DE SAUDE SANTA CASA DE SANTOS,INSTITUTO DE SAUDE SANTA CASA DE SANTOS,Associação Privada,2018.0,,,JABAQUARA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO BIBLIOTECA COMUNITARIA EM CONTAINER (ABC),ASSOCIACAO BIBLIOTECA COMUNITARIA EM CONTAINER (ABC),Associação Privada,2018.0,,,CHICO DE PAULA,Desenvolvimento e defesa de direitos,Outros
ABIAAD ASSOCIACAO BRASILEIRA DE INTELIGENCIA ARTIFICIAL APLICADA AO DIREITO,ABIAAD ASSOCIACAO BRASILEIRA DE INTELIGENCIA ARTIFICIAL,Associação Privada,2018.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IGREJA EVANGELICA TEMPO DE SEMEAR AVIVAMENTO ABRACANDO VIDAS,,Organização Religiosa,2018.0,,,MARAPE,Religião,Religião
ASSOCIACAO CULTURAL RECANTO DOS SABERES,ASSOCIACAO CULTURAL RECANTO DOS SABERES,Associação Privada,2018.0,,,MARAPE,Cultura e recreação,Cultura e arte
SOCIEDADE INDEPENDENTE DO CAMINHONEIRO AUTONOMO E AGREGADO,SICAM,Associação Privada,2018.0,,,PONTA DA PRAIA,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
ASSOCIACAO COMERCIAL DOS CAMINHONEIROS AUTONOMOS DE VIAGEM,ACCAV,Associação Privada,2018.0,,,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
ASSOCIACAO BRASILEIRA DE TRANSPORTADORES DE SAO PAULO,ASBRATSP,Associação Privada,2018.0,,,VALONGO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ORGANIZACAO SOCIAL DE MEDICINA BETA,,Organização Social,2018.0,,,BOQUEIRAO,Saúde,Outros serviços de saúde
IGREJA PENTECOSTAL DEUS E AMOR,DEUS E AMOR,Organização Religiosa,2017.0,,,RADIO CLUBE,Religião,Religião
ASSOCIACAO BIBLICA E CULTURAL DE SANTOS,,Organização Religiosa,2018.0,,,CANELEIRA,Religião,Religião
CENTRO DE ASSISTENCIA SOCIAL E MOBILIZACAO PERMANENTE DE SAO VICENTE - CAMPSV,CAMPZN,Associação Privada,2018.0,,,AREIA BRANCA,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO ESPORT DO SINDICATO DOS METALURGICOS,GREMETAL,Associação Privada,1976.0,,,VILA MATHIAS,Cultura e recreação,Esporte e recreação
SOCIEDADE DE MELHORAMENTOS DA VILA SAO JORGE,,Associação Privada,1979.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VL SAO JORGE,Desenvolvimento e defesa de direitos,Outros
HEMOCENTRO SAO LUCAS - TERAPIA CELULAR,HEMOCENTRO SAO LUCAS,Associação Privada,2018.0,,,CAMPO GRANDE,Saúde,Outros serviços de saúde
SOCIEDADE UNIAO PORTUGUESA,,Associação Privada,1966.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
INSTITUTO SUPERIOR DE EDUCACAO SANTA CECILIA,,Associação Privada,2017.0,,,BOQUEIRAO,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
CENTRO ESPIRITA SAO JORGE E A CARIDADE,,Associação Privada,1970.0,,,MARAPE,Religião,Religião
MITRA DIOCESANA DE SANTOS,VICARIATO PARA DIMENSAO SOCIAL DA EVANGELIZACAO,Organização Religiosa,2017.0,,,MACUCO,Religião,Religião
PAROQUIA ORTODOXA SAO JORGE DE SANTOS,,Associação Privada,1971.0,,,GONZAGA,Religião,Religião
IGREJA EVANGELICA ASSEMBLEIA DE DEUS RIBEIRAOPIRENSE,IE ASS. DE DEUS RIBEIRAOPIRENSE FILIAL VILA BELMIRO 5,Organização Religiosa,2017.0,,,VILA MATHIAS,Religião,Religião
IGREJA EVANGELICA ASSEMBLEIA DE DEUS RIBEIRAOPIRENSE,IE ASS. DE DEUS RIBEIRAOPIRENSE FILIAL BOM RETIRO 5,Organização Religiosa,2017.0,,,AREIA BRANCA,Religião,Religião
IGREJA EVANGELICA NOVA VIDA NO BRASIL,,Organização Religiosa,2016.0,,,MORRO SAO BENTO,Religião,Religião
IGREJA EVANGELICA NOVA VIDA NO BRASIL,,Organização Religiosa,2016.0,,,RADIO CLUBE,Religião,Religião
ABTRA ASSOCIACAO BRASILEIRA DE TERMINAIS E RECINTOS ALFANDEGADOS,ABTRA,Associação Privada,1990.0,,,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
INACI ASSOCIACAO DE ENSINO,,Associação Privada,2010.0,,,VILA MATHIAS,Educação e pesquisa,Educação profissional
COLSAN - ASSOCIACAO BENEFICENTE DE COLETA DE SANGUE,AGENCIA TRANSFUSIONAL DO COMPLEXO HOSP. DOS ESTIVADORES,Associação Privada,2017.0,,,ENCRUZILHADA,Saúde,Outros serviços de saúde
ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,,Associação Privada,2017.0,,,CAMPO GRANDE,Educação e pesquisa,Educação infantil
ALVORECER - ASSOCIACAO DE SOCORROS MUTUOS,BLUE MED SAUDE,Associação Privada,2018.0,,,GONZAGA,Saúde,Outros serviços de saúde
ASSOCIACAO EDUCACIONAL NOVO TEMPO,REDE DE ENSINO NOVO TEMPO,Associação Privada,1991.0,,,CENTRO,Educação e pesquisa,Ensino fundamental
ASSOCIACAO GRUPO ESPIRITA JOAO CABETE,,Associação Privada,2017.0,,,ESTUARIO,Religião,Religião
COOPERFRUT ASSOC PAULISTA DIST PROD NA IND ALIMENTICIA,COOPERFRUT PAULISTA,Associação Privada,1992.0,,,CENTRO,Cultura e recreação,Esporte e recreação
CENTRO ESPIRITA SAO JORGE DAS CORRENTES AFRICANAS DOS SETE,,Associação Privada,1993.0,,,RADIO CLUBE,Religião,Religião
ASSOCIACAO FILANTROPICA CINZEL,,Associação Privada,1995.0,,,MACUCO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO ALMIRANTE BARROSO,,Associação Privada,1996.0,,,VL MATIAS,Desenvolvimento e defesa de direitos,Outros
UNIAO DAS ASSOCIACOES DE ENGENHARIA E ARQUITETURA DO LITORAL PAULISTA,UALP,Associação Privada,2003.0,,,BOQUEIRAO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
VIDAS RECICLADAS,CASA DAS ANAS SANTOS,Associação Privada,2020.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IGREJA CARISMATICA APOSTOLICA NO BRASIL  - SANTUARIO DAS SANTAS MISSOES APOSTOLICAS,,Organização Religiosa,2019.0,,,CENTRO,Religião,Religião
HEMOMED INSTITUTO DE ONCOLOGIA E HEMATOLOGIA,HEMOMED,Associação Privada,2020.0,,,CAMPO GRANDE,Saúde,Outros serviços de saúde
ASSOCIACAO NIPO BRASILEIRA DE ASSISTENCIA SOCIAL - ENKYO,CASA DE REPOUSO - SANTOS KOSEI HOME,Associação Privada,2018.0,,,VILA NOVA,Assistência social,Assistência social
INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ,AMBESP DR. NELSON TEIXEIRA,Associação Privada,2020.0,,,MACUCO,Saúde,Outros serviços de saúde
PRO SAUDE - ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL E HOSPITALAR,UNIDADE DE PRONTO ATENDIMENTO DA ZONA LESTE - UPA - ZL,Associação Privada,2020.0,,,ESTUARIO,Saúde,Outros serviços de saúde
FEDERACAO PAULISTA DE FUTEBOL DE TRAVINHA,,Associação Privada,2019.0,,,EMBARE,Cultura e recreação,Esporte e recreação
IGREJA UNIVERSAL DO REINO DE DEUS,,Organização Religiosa,2016.0,,,JOSE MENINO,Religião,Religião
ASSOCIACAO ESPORTIVA RACING CLUB SANTISTA,AERCS,Associação Privada,2018.0,,,APARECIDA,Educação e pesquisa,Outras formas de educação/ensino
ASSOCIACAO NACIONAL DE ASSESSORIAS E TREINADORES DE ATIVIDADES ESPORTIVAS OU FISICAS EM GRUPOS,ANAT,Associação Privada,2018.0,,,VILA BELMIRO,Cultura e recreação,Esporte e recreação
TENDA DE UMBANDA FILHOS DE OXALA,,Organização Religiosa,2018.0,,,VILA MATHIAS,Religião,Religião
PROFESSOR PEDRO AMERICO DE SANTOS ASSOCIACAO,,Associação Privada,2019.0,,,CAMPO GRANDE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
AUGUSTO SEVERO DE SANTOS ASSOCIACAO,AUGUSTO SEVERO DE SANTOS ASSOCIACAO,Associação Privada,2019.0,,,CENTRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
FREI GASPAR DE SANTOS ASSOCIACAO,,Associação Privada,2019.0,,,CENTRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
PROJETO TRANSFORME SUA CIDADE,PROJETO TRANSFORME SUA CIDADE,Associação Privada,2018.0,,,ESTUARIO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CENTRO DE UMBANDA TENDA DOS CABOCLOS,CENTRO DE UMBANDA TENDA DOS CABOCLOS,Organização Religiosa,2018.0,,,VILA MATHIAS,Religião,Religião
LOJA MACONICA FRATERNIDADE JACQUES DE MOLAY DE SANTOS N 3963,LOJA FRATERNIDADE JACQUES DE MOLAY,Associação Privada,2018.0,,,VILA BELMIRO,Religião,Religião
IGREJA PENTECOSTAL NAS MAOS DE DEUS,IGREJA PENTECOSTAL NAS MAOS DE DEUS,Organização Religiosa,2018.0,,,MORRO SANTA MARIA,Religião,Religião
MARTIN AFONSO DE SANTOS ASSOCIACAO,,Associação Privada,2019.0,,,CENTRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
GADIIBS - GRUPO DE APOIO DAS DOENCAS INFLAMATORIAS INTESTINAIS DA BAIXADA SANTISTA,GADIIBS - GRUPO DE APOIO DAS DOENCAS INFLAMATORIAS INTE,Associação Privada,2019.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO SANTISTA DE ASSISTENCIA E SAUDE - ASAS,ASSOCIACAO SANTISTA DE ASSISTENCIA E SAUDE - ASAS,Associação Privada,2018.0,,,VILA NOVA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CENTRO ACADEMICO DR JOSE MARTINS FONTES - CAMF,,Associação Privada,2000.0,,,PAQUETA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
